10_fold,query_sentence
1,"1. And there is always the ultimate unbundler defence that he will make money for his backers
2. Then they formed a slow procession behind the coffin into the mountains to the old royal capital of Cetinje for his reburial in the monastery there
3. Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject
4. In some cases Labour quangos merge existing ones or replace well-established bodies
5. The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage
6. They see themselves not as author and illustrator with separate roles but as a partnership of book-makers contributing equally to the process
7. By holding open meetings for children and having the telecottage above the local store people of all walks of life came+in small-scale entrepreneurs and their spouses shop+assistants craftspeople and children
8. As+if 24-17 and derisive chants of Easy easy were not bad enough this humiliation was against a side who have made a wretched start to the season a week earlier Pontypool had going-over given them a 35-6 and were short of at+least half-a-dozen first-choice players
9. Ron Todd the general secretary of the transport workers union said that today vote on the multilaterist nuclear defence policy would not yield the massive and overwhelming majority predicted by right-wingers and he warned that party leaders could not expect everybody to goose-step in the same direction once the policy had been carried
10. Glasgow Clocks and scientific instruments Wednesday 11am
11. First they have to sell their present house a two-bedroom cottage in the centre of the town
12. Their South Molton cottage guide price £44,000-£46,000 is one of more+than 20 lots to be put+up for sale at the Barnstaple auction by Bristol and West Property Services and one of more+than a hundred which the building+society subsidiary will be auctioning in eight West+Country venues over a three-day period
13. With an auction you 've got to be certain that at+least two buyers are there who can commit themselves and the difficulty is that buyers who can proceed are few and far between said David Phillip a director of Yorkshire estate+agents Dacre Son and Hartley
14. Misunderstood by Decca Records he maintains I wan na play ma music ma way
15. But it was Gerry Conlon account of being interrogated after the Guildford bombings that made the scalp crawl
16. Government compounds all these problems when it sets+down working parameters which fail to reflect the value the country gets from a system that is run efficiently can shift people to destinations with exemplary speed and safety as Europe consistently demonstrates
17. Francesca Simon describes some of the pitfalls and how to avoid them
18. Travel Copse and robbers Christopher Somerville sees how woodland has usurped the ancient cattle thieves of the Cheviot Hills
19. Probably nothing at+all
20. Con Maj 2.5830000000000002
21. The villagers of Ramsala recipients of the Palm Beach dollars explained to the cameras that they desperately needed a clinic"
2,"1. When he collaborated directly with her in opera the result was of historical significance
2. But its last effort the Department of Economic Affairs set+up by Harold Wilson and headed by George Brown ended in futile departmental and ministerial infighting
3. But while the DTI would override the Treasury a new powerful Department of Consumer Affairs would antagonise the DTI
4. Labour would be acquiescing in a democratic outrage if it continued arguing that because the Conservatives had got away with being undemocratic for so long it was now Labour turn
5. While telecottages should become self-financing once established they do need initial subsidy
6. Villages are expensive to live in and if they are to become vibrant communities again local people must be able to earn enough to be able to continue living in them
7. Mr Smith said in an interview on BBC television 's On the Record that he did not expect his colleagues to spend and spend again' when they took office
8. Doctors are worried that women turning to prostitution to finance the habit are at risk of contracting Aids
9. We do not drink because we are thirsty
10. Globe artichokes are sprouting new leaves and may need protection from frost in cold areas
11. We 're trying to smooth the path for purchasers and streamline the system says Graham Harrison pointing+out that live telephone bidding will also be available for those unable to attend
12. Although collective property auctions take place regularly in London often primarily for investors rather+than house-hunters in country areas the more typical auction will be just for one house and as likely as not will take place in a nearby pub or village hall
13. And although the supertram concept will spread through major cities during the next decade Blackpool will still be alone in its use of traditional double-deckers
14. Armstrong seems the least permanently damaged on the surface
15. Under strain for a start because it was technically ill-equipped to avert disaster or to cope with the consequences when disaster struck under strain from commercial pressures which as the inquiry puts it compromised safety under strain above all because the people on the spot could n't or would n't cope were weary from gruesome working hours the senior signal technician who heads the list of the culpable had had only one day off in the past 13 weeks lacked adequate training or simply could n't be bothered
16. By refusing to keep open two-way radio links the crews had effectively ended a proper emergency+service
17. In law there was no doubt that Mrs Bujok was entitled to commence proceedings without giving notice of the state of the dwelling to the council
18. He took it on the chin
19. In the meantime we have the capacity to bring coherence and organisation to a whole range of activities further consolidating the institutional linkage between the people in the occupied state and the PLO leadership
20. The age structure of Meadowell means it is awash with teenagers whose only pastimes are having babies and body-building
21. Like the heckler he was a Liberal"
3,"1. One daughter a grand duchess of Russia even gained a footnote in history by introducing an unknown monk Rasputin to the Russian Tsarina Alexandra
2. He started by writing occasional articles but in 1939 he wrote The State of Music a trenchant and provocative assessment of the machinery of the musical profession at the time
3. Powerhaus N1 837 3218 8.30pm £5
4. Mr Dobbs more unlikely allies are the Women Institutes
5. Very kind but international players are supposed to be habitually influential and it was Hazard who in the second half with a few incisive passes gifts from the heavens on a day like this left a greater mark
6. In a statement afterwards Dr Runcie stressed that he was not proposing any change in the British constitution
7. By NICHOLAS ROE
8. Runner+beans and French beans have now given+up completely and can be cleared off vegetable plots
9. The irony is that had the tower been higher and had the teak scrubbers been less efficient the smoke would have gone straight up into the air
10. At a press+conference to mark his election victory a year ago Mr Bush threatened to veto the budget unless it contained real cuts
11. Now that would be a great leap forward
12. In 1949 Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing+wax for letters so+that we may raise needed funds for our physics lab
13. Such agreements can range from the issue of borders to the issue of free wave-lengths for our future television and radio networks
14. By Daniel John
15. His wife was telling him to saddle+up and steal a fresh batch of cattle from his neighbour herds
16. Group 4 Remand Services Ltd the security firm selected by the Home+Office to manage The Wolds in a £5 million-a-year contract likes to think of its prisoners as customers
17. Tory ministers like Michael Heseltine who visited Meadowell last November say the cash shortages are due+to council profligacy and bad management
18. Under pressure from Satra Kirov told singers to choose between the companies
19. But her desire to provide a period of stability for nearly one million people employed by the NHS is coupled with a fierce determination to maintain the momentum of reform with the overwhelming majority of hospitals becoming self-governing trusts by the mid-1990s
20. As+well+as fighting for more money her task was to ensure that every last pound was spent as effectively as it could be"
4,"1. Letter Policy and politics at the Labour+Party Conference
2. A letter dropped through the post from the President of the Socialist Republic of Montenegro inviting me to the funeral said John Kennedy a Conservative+Party member who lives in Barking and is a distant relative of Nicholas
3. Another response to a visual stimulus was Thomson series of musical portraits of people such+as Picasso and Aaron Copland
4. But the villages are dying becoming suburbs or dormitories where few people work but many sleep
5. It takes all sorts
6. The phrase universal primacy has a spiritual meaning
7. In Liverpool a dockers spokesman with the Transport and General Workers Union admitted Drivers are n't happy handling some of these commodities but at+least a lorry-driver has more idea of what he is handling than a docker who could have a consignment and just not know what it is
8. Dr Slevin agreed that this is often beneficial but is concerned about other aspects of such therapies
9. By STEPHEN GOLD
10. If Dedham Hall is fully booked and it may well be try the best bed-and-breakfast we have ever found just a few miles away at the Old Vicarage Higham near Colchester
11. The loveliest to my mind is Melford Hall whose charming octagonal Jacobean gatehouse is reached along an avenue of clipped yew trees and with its high windows flooding the octagon with light is my fantasy of the ideal study
12. And they told it without on-screen questioning though the programme is skilfully structured to give it a coherence it might have lacked
13. From the resulting corner Rhodes made another fine save hurtling to his right to deflect away Dixon rising shot
14. We trained on an artificial pitch for two days this week and we should have done a+lot better
15. The user tells the analyst what the problems are and the analyst decides at+least in broad terms what the user requires
16. Second it would consolidate the image and essence of the Intifada as a constructive not a destructive force
17. Entire departments can be set+up in health foreign affairs agriculture trade finance education justice religion information and social welfare
18. Wriggling across country on the D216 to Port-d'Envaux you come to two more chateaux 18th-century Panloy flaking romantically away on its hillock overlooking a bend in the Charente and almost next door the much older moated Crazannes half-smothered in amazing flamboyant Gothic carving
19. The core of the problem is simple the National was invited to New York only last November and the Kirov is planning to tour this summer
20. The market price-earnings multiple was 16 last night but it would drop below 14 if that increase in earnings really happens"
5,"1. This furthered his long-term ambition to rule a large south Slav kingdom when the Ottoman Empire finally collapsed
2. In fact anti-racism and anti-sexism seem to come naturally to the Ahlbergs
3. EACH new indignity in the heap visited on Welsh rugby seems worse than the last
4. What of this thirst that can be satisfied by an unquenching drink
5. The nearest+to being quenching is the white beer of Berlin
6. IN THE small Devon town of South Molton Julie Widlake is waiting with anticipation for Friday 20 October
7. His successful bid was for £190,000 although he had made a higher prior offer which had been turned+down
8. In Britain with the main exception of Blackpool not forgetting the single-deckers of the Isle of Man and Llandudno trams had been largely relegated to the history books
9. The Slingos have their own vegetable garden chickens ducks sheep and cows
10. Scott was so pleased with the style he had evolved at Battersea a treatment that humanised industrial forms without denying their function that he also used it on the Guinness Factory at Park Royal west London
11. What should have been a routine exercise in extending the Government borrowing+power to $3.1 thousand billion became bogged+down in wrangling over legislative initiatives lawmakers wanted to attach to the bill
12. What has gone wrong
13. Tiphook confident
14. The structure of the developing national authority has been both diffuse enough to prevent it from being destroyed by any one single sweep of arrests there have been more+than 50 arrests since the Intifada outbreak and coherent enough to allow for the existence of a unified resistance strategy
15. Through it Palestinians are struggling on a daily basis to shake+off Israel authority and to construct their own
16. But these themes are always interspersed with more fanciful ones grimacing masks weird animals exuberant abstract patterns
17. When built in 1938 it was The Ridges which is still what they call it locally a slum clearance project on the north bank of the Tyne 10 miles east of Newcastle
18. I knew there was one here he continued meaning Liberal Democrats
19. The results exceeded our expectations said Mr Goodson
20. However he suggested there was perhaps a need to look into the system more closely"
6,"1. IT SEEMS that Roland Franklin the latest unbundler to appear in the UK has made a fatal error in the preparation of his £697m break-up bid for stationery and packaging group DRG
2. That point about the core business is very unfair he says
3. To add the part-time education and training statistics to those figures does not improve our relative position
4. For many years Thomson lived in New York in his apartment at the Chelsea Hotel
5. It does not imply political supremacy and does not suggest that the Pope should administer the affairs of the Church of England he said
6. They too reacted with water and a plant operator was burned by a cloud of acid gas
7. Westerns are no+longer a cheap option
8. Sometimes he is reminded of several things
9. The Iznik pottery from Turkey dating from the fifteenth and sixteenth century explodes with colour on more sophisticated white grounds Iznik is now highly sought after by Turkish yuppies and prices run from £2,000 or so to £15,000
10. But then do the French Spanish or Italians have a word for it
11. The summer sprawl begins to be oppressive at this stage in the year and trigger fingers are itching to snip+back overgrown mallows clear+out the mildewing foliage of golden rod and reduce the overpowering bulk of bullyboy ground cover
12. Privacy is an important consideration
13. I have no doubt that others will be added
14. If there is a failure of imagination to use the royal visit creatively it will also be a failure of nerve
15. The only two Hong Kong legislators who consistently dare to speak+out Mr Martin Lee and Mr Szeto Wah have been threatened with expulsion from the committee now drafting China post-1997 Basic Law
16. Leinster face an uphill task
17. Most of them are probably muttering I 'm too busy to get involved in this sort of thing
18. OVERNIGHT FILE
19. A mile above the shepherd hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road hidden deep in the folds of the moors
20. He 's better looking on TV"
7,"1. Given the already appalling and growing rate of homelessness and lack of hostel facilities in London when more people than ever will not only have to endure the freezing nights of the coming winter on the streets but perhaps permanent homelessness it was terrible to see the situation being exploited for a joke by your advertisement Just the thing now the evenings are drawing+in
2. During the journey East German officials will enter the train and collect all East German passports
3. Provided their behaviour was sportsmanlike and safe oarsmen found only encouragement and humour from a President who was always among them
4. Plough Kenton Kenton Rd Harrow 907 2498 9pm £3.50
5. Losing was one thing but to lose as spinelessly as the Welsh XV did to Bridgend on Saturday was to add insult to severely injured pride
6. Others are not so well+informed
7. The hero Francis Mayne is suffering from the adolescent emotional confusion and acute self-consciousness
8. So of+course does alcohol itself
9. From MARC CHAMPION in Washington
10. So they should and when the list of necessities is securely written+down you can ask the second question How do I want this garden to feel
11. Pub landlords are usually only too happy to provide free accommodation
12. Other British towns Croydon and Southampton among them are also considering modern tramways
13. There are three key causes of the shambles Mr Kenneth Clarke the failure to separate emergency from non-emergency work and the Whitley Council negotiating machinery
14. The Health Secretary accused the unions of posturing and pretending to run a 999 service yesterday
15. George Graham was not amused
16. He was awarded honorary degrees by Algiers Glasgow and Oxford
17. Its two main slogans repeated countless times in the directives issued by the underground leadership are freedom and independence
18. Harsh measures putting an entire community under an absolute curfew for a continuous lengthy period of time demolishing homes uprooting olive or citrus trees physical intimidation and terror tactics employed by raiding army units shooting killing cutting+off water+supplies or electricity and telephone links to villages or towns mass arrests intimidatory interrogation techniques can either create a temporary lull or activate an eruption
19. The offices of R and B. Lettings are now up for sale
20. Not a sign of spring had yet penetrated this secret valley but another month would put that right"
8,"1. It does not matter whether+or+not DRG makes sellotape or Basildon Bond it 's of no consequence to anybody if somebody else makes them
2. In his minute inaccessible capital which today has only 15 inhabitants Nicholas erected a miniature European court and an exquisitely furnished Victorian palace
3. FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas
4. In+spite+of his gift to the sport Keller was anxious not to abuse his status as President and never went to a rowing event unless invited
5. The village is a fantastic institution and they make people happier
6. Employment in agriculture still the main rural industry fell from over a million in the mid-Sixties to under 100 now
7. Had either of the teams won they would have taken the League leadership
8. But Dr Runcie ideas of a limited primacy recognising the Pope as a central figure in the Christian Church who would exercise a primacy for the sake of unity and mission have been rejected as insufficient by the Pope
9. Stack emissions of PCBs were below the American standard for breathing air 1 times lower than the British equivalent
10. The sales combine items of charm at fairly accessible prices with some rare treasures aimed at big-time collectors
11. That is not thirst
12. Precisely next door to this is a restaurant called The Great House
13. Scott first venture into this unlikely field of design was at Battersea where in 1930 he was wheeled+in as a famous knighted architect by the London Power Company to try to make acceptable the coal-fired monster power+station to which the residents of Chelsea and Westminster were taking strong exception
14. So do the Chinese press statements asserting that Hong Kong is entirely a business between China and Britain and should not be discussed formally or informally at any international forum
15. For Mrs Bujok it was argued that the 1936 Act was designed to secure in the interests of the community at+large that statutory nuisances did not exist
16. He finds+out what the needs of the business are and prescribes the cure
17. Crucial to the development process is the relationship built+up between the analyst and the user
18. It would further naturalise and legitimise the evolving skeletal form of Palestinian independence
19. Howard Keizner of Landlords said There were a lot of complications with this particular letting and management
20. The theory is that its internal air+pocket will bounce back the dolphin sonar signal regardless of the direction of approach"
9,"1. If he had taken his own rule seriously he would have found+out that DRG has a very modest self-service canteen at its Bristol head office
2. From MR DENIS MacSHANE
3. Labour law will always reflect the balance of power in society and a fully+fledged labour court system will not remove class and fundamental employer-employee differences
4. From there like a eyrie its in buzzard he would make forays round the US and abroad in+spite+of his advanced age
5. It would also be necessary to smash the decrepit effete constitution that allows a minority to capture power and then use it ruthlessly in the interests of the privileged few
6. The simple answer is that Chelsea are in a FALSE position and Arsenal on this evidence slightly jaded champions
7. But it will not mean that we are abandoning them
8. And Richard North looks at current provisions for the destruction of PCBs and at the history of British involvement in a rather uncomfortable growth+industry The security+guard at the entrance to one of Britain mightiest hazardous waste disposal plants pressed a button and the gate opened
9. A grin
10. In 1986 according+to Friends of the Earth a survey of the homes clustered on the surrounding hills found that three-quarters of 800 residents were opposed to the Rechem plant
11. Zinc is the latest lack of it supposedly causes a range of problems although little scientific evidence supports the link
12. It will be my turn to get+in them I think
13. Completion normally takes place four to eight weeks later and there is no opportunity for second thoughts
14. Of the two prototype rock songwriters it 's the more worldly Chuck Berry you turn to for the authentic picture of teenage pleasures in Eisenhower America Gon na write a little letter Gon na mail it to my local deejay
15. Clapham indeed accounts for nearly half the 77 fatalities of the last ten years compare that with the 5 deaths and 300 injuries every year on the roads
16. Yet the ambulance worker is only being offered £10,000 when a fire officer is being given £13,000 and a Metropolitan police constable can earn £25,000
17. Natalie Ford Brighton
18. Water is everywhere canals streams small busy rivers with charming names like the Boutonne the Mignon and the Belle and big lazy rivers like the Sevre Niortaise and the Charente
19. Since 1986 Rytasha has broken+away+from her guru and set+up on her own with a charity called Food Relief International which raises money from the fiercely competitive matrons of Palm Beach and distributes it to the starving people of Bangladesh
20. Michael Freeman the solicitor who advised the members on court action said yesterday This will cause the most dreadful hardship"
10,"1. From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book form
2. But it was the spirit of Henley with huge crowds enjoying amateur sport presented with administrative finesse which Keller took as the yardstick for the international circuit
3. This may sound utopian but it has been borne+out by the experience of existing telecottages
4. Modern audiences no+longer accept plastic bushes and the southern Californian suburban sprawl means the production companies have to take their horses and cows to locations far away in Arizona or Montana
5. Now there are maybe two
6. Prints watercolours oil+paintings furniture and architectural effects Tuesday 1.30pm
7. Less happily but for the same reason repossessed houses are often auctioned
8. Mr Duncan Nichol wants to separate the emergency from the non-emergency work
9. Our latest Foreign Secretary has yet to publicly pick+up the file marked Hong Kong
10. They may rightly feel that it is all really rather appalling
11. Parliament should give fresh thought to enacting a provision placing an obligation upon a council tenant to give notice to the council before being permitted to commence proceedings
12. By Robert Armstrong in Dublin
13. Leinster have named a team that looks strong on paper including eight internationals yet they recently lost to both Munster and Ulster in the Inter-Provincial Championship
14. No supporter of the Latics dared dream it but suddenly the improbable was a throbbing joyous reality
15. Quinn held his head in disbelief
16. But he also said Let's not take+away+from any credit Oldham
17. However the City had been expecting bad figures and the shares rose 15p to 239p
18. Frankfurt FAZ index 695.74 684.01
19. There is more greenery further south in the deep forest of Chize with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge and more marshes to the west around Rochefort and Marennes where those mussels and oysters are raised
20. Hilda Amiel alleged to be the very godmother of fake art has been arraigned for her part in what the US Attorney calls the single largest worldwide source and distribution network of bogus prints"
